substance,name,form,aktiv_substans,size_unit,kategori,size,article_id,atc
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Salva 10 mg/g",Tub,Hydrokortison,g,Allergi,20,113076,D07AA02
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Salva 10 mg/g",Tub,Hydrokortison,g,Allergi,50,429894,D07AA02
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Salva 10 mg/g",Tub,Hydrokortison,g,Allergi,100,429902,D07AA02
Medel mot akne för utvärtes bruk,"Basiron AC, Gel 10 %",Tub,Bensoylperoxid,g,Hud & hår,40,061150,D10AE01
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Kräm 10 mg/g",Tub,Hydrokortison,g,Allergi,20,112847,D07AA02
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Kräm 10 mg/g",Tub,Hydrokortison,g,Allergi,50,429787,D07AA02
Mjukgörande medel,"Canoderm, Kräm 5 %",Tub,Karbamid,g,Händer & fötter,100,052480,D02AE01
Mjukgörande medel,"Canoderm, Kräm 5 %",Tub,Karbamid,g,Händer & fötter,210,037279,D02AE01
Mjukgörande medel,"Canoderm, Kräm 5 %",Burk,Karbamid,g,Händer & fötter,500,022500,D02AE01
Mjukgörande medel,"Canoderm, Kräm 5 %",Refillburk,Karbamid,g,Händer & fötter,500,022489,D02AE01
Mjukgörande medel,"Miniderm, Kräm 20 %",Tub,Glycerin,g,Barn & baby,100,001488,D02AX
Mjukgörande medel,"Miniderm, Kräm 20 %",Burk,Glycerin,g,Barn & baby,500,001474,D02AX
Mjukgörande medel,"Canoderm, Kutan emulsion 5 %",Behållare med dospump,Karbamid,g,Hud & hår,350,539544,D02AE01
Mjukgörande medel,"Canoderm, Kutan emulsion 5 %",Behållare med dospump,Karbamid,g,Hud & hår,700,017838,D02AE01
"Medel vid psoriasis till utvärtes bruk, tjäror.","Inotyol, Salva",Tub,"Ichtammol,Titandioxid,Zinkoxid",g,Barn & baby,30,535713,D05AA
"Medel vid psoriasis till utvärtes bruk, tjäror.","Inotyol, Salva",Tub,"Ichtammol,Titandioxid,Zinkoxid",g,Barn & baby,50,003878,D05AA
Medel mot akne för utvärtes bruk,"Basiron AC, Gel 5 %",Tub,Bensoylperoxid,g,Hud & hår,40,061218,D10AE01
Mild glukokortikoid (Grupp I),"Hydrokortison CCS, Kräm 10 mg/g",Tub,Hydrokortison,g,Allergi,100,429852,D07AA02
Medel vid sår- och brännskador.,"Aco Alsolsprit, Kutan lösning 10 mg/ml",Flaska,Aluminiumacetotartrat,ml,Hud & hår,250,250340,D03
Lugnande medel,"Neurol forte, Dragerad tablett",Blister,Valeriana,st,Sömn & välbefinnande,80,040441,N05CM09
Fibrinolyshämmare,"Cyklo-f, Filmdragerad tablett 500 mg",Blister,Tranexamsyra,st,"Intim, underliv & sex",18,051789,B02AA02
Anthelmintikum,"Vanquin, Dragerad tablett 50 mg",Blister,Pyrvin,st,Barn & baby,8,153890,P02CX01
Anthelmintikum,"Vanquin, Dragerad tablett 50 mg",Blister,Pyrvin,st,Barn & baby,32,174755,P02CX01
Vitamin B12,"Behepan, Filmdragerad tablett 1 mg",Blister,Cyanokobalamin,st,Kost & kosttillskott,50,326827,B03BA01
Vitamin B12,"Behepan, Filmdragerad tablett 1 mg",Burk,Cyanokobalamin,st,Kost & kosttillskott,100,409268,B03BA01
Vitamin B12,"Behepan, Filmdragerad tablett 1 mg",Burk,Cyanokobalamin,st,Kost & kosttillskott,1000,001366,B03BA01
Övriga utvärtes medel vid hudmykoser,"Finail, Medicinskt nagellack 5 %",Flaska,Amorolfin,ml,Händer & fötter,3,193427,D01AE16
Övriga utvärtes medel vid hudmykoser,"Finail, Medicinskt nagellack 5 %",Flaska,Amorolfin,ml,Händer & fötter,5,559155,D01AE16
Antimykotikum med brett spektrum,"Canesten, Vaginalkräm 1 %",Tub,Klotrimazol,g,"Intim, underliv & sex",50,181255,G01AF02
Kalciumpreparat,"Kalcipos, Filmdragerad tablett 500 mg",Burk,Kalciumkarbonat,st,"Intim, underliv & sex",60,416800,A12AA04
Kalciumpreparat,"Kalcipos, Filmdragerad tablett 500 mg",Burk,Kalciumkarbonat,st,"Intim, underliv & sex",180,416891,A12AA04
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Iprensa, Kapsel, mjuk 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",20,540034,M01AE01
Antimykotikum med brett spektrum för vulvovaginalt bruk,"Pevaryl Depot, Vagitorium 150 mg",Blister,Ekonazol,st,"Intim, underliv & sex",1,080424,G01AF05
Antimykotikum med brett spektrum för dermatologiskt bruk,"Lamisil Dermgel, Gel 1 %",Tub,Terbinafin,g,Händer & fötter,5,096776,D01AE15
Antimykotikum med brett spektrum för dermatologiskt bruk,"Lamisil Dermgel, Gel 1 %",Tub,Terbinafin,g,Händer & fötter,15,096784,D01AE15
"Analgetikum, antipyretikum","Panodil Zapp, Filmdragerad tablett 500 mg",Blister,Paracetamol,st,"Förkylning, värk & feber",20,082797,N02BE01
"Analgetikum, antipyretikum","Panodil Zapp, Filmdragerad tablett 500 mg",Blister,Paracetamol,st,"Förkylning, värk & feber",60,006121,N02BE01
